Feature,Pearson_r,Pearson_p,Spearman_r,Spearman_p
viewingTimeSec,-0.07356851310745308,0.005560818015727815,-0.053725753575320216,0.04302095219012168
fixationCount,-0.06599201471162991,0.01290378195593876,-0.039892674377944866,0.1330931484217334
meanFixationDuration,-0.04659350240259604,0.07933364977181864,-0.04854530163788279,0.06752715861659062
meanPupilDiamater,-0.04410870817519767,0.09673308759369295,-0.027146482958156342,0.30683545460033884
saccadeCount,-0.06034524525091795,0.02301106815590429,-0.03065221015088582,0.24853683201072202
